Mon. Dec. 23, 2013             LANDSAT 5                 Time: 00:40
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L9540171            Path/Row: 181 / 063

L0R Reference Image: L51JSA1008173080100_HDF.133570630
Acquisition Date: Jun 21, 2008

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
181   063   2002-05-12


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1810630004   -4.262999   17.178551   393.302       2.958    -5.732     3.752    -5.245
1810630007   -4.236969   16.490827   338.386       1.510     2.234     1.172     2.427
1810630009   -5.163035   16.453830   618.161      -0.099    -1.592     0.132    -1.589
1810630010   -5.153433   16.379932   794.001      -1.442    -3.333    -0.945    -3.502
1810630011   -5.005342   16.596588   607.368       0.318     3.005    -0.119     3.017
1810630013   -4.441017   16.179801   678.684      -6.719     1.625    -6.875     0.639
1810630016   -5.174903   16.595383   700.668       3.969    -0.491     3.995     0.086
1810630017   -5.142507   16.412923   575.457      -1.412    -1.587    -1.168    -1.773
1810630018   -5.131852   16.445912   581.407       3.549     0.934     3.375     1.435
1810630019   -4.949539   16.561288   600.121       1.103     1.969     0.806     2.106
1810630022   -4.667235   16.506836   539.163      -4.075    -2.872    -3.615    -3.427
1810630024   -4.694707   16.473905   603.921       4.119    -2.448     4.425    -1.827
1810630029   -4.411099   16.873076   515.602      -1.199     3.029    -1.622     2.824
1810630030   -4.763890   16.915094   538.197      -2.155    -5.128    -1.392    -5.382
1810630033   -4.674940   16.580672   500.962      -0.759     0.540    -0.829     0.424
1810630035   -4.797175   17.036048   516.375       0.842     6.001    -0.033     6.057
1810630039   -4.434984   16.218451   619.227       0.711    -3.188     1.162    -3.050
1810630040   -5.162299   16.419461   682.695      -1.597    -4.916    -0.870    -5.090
1810630041   -5.016448   16.488672   598.831      -0.910    -2.029    -0.608    -2.137
1810630047   -4.027765   16.891876   461.582      -1.155     4.372    -1.772     4.158
1810630049   -5.116739   16.409889   704.867      -5.443     1.950    -5.662     1.143
