==============================================================================
==============================================================================
Mon. Dec. 23 2013                  LANDSAT 7                       Time: 06:48
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101312224682_00025                          Path / Row - 181 / 63
Reference Image: L51JSA1008173080100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.4%
Rank   2 --  4.6%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1810630171   -3.48046     15.92270     0.04     -0.13     0.13     1 
1810630172   -3.48043     15.95079    -0.10     -0.14     0.17     1 
1810630176   -3.48031     16.06313     0.34     -0.20     0.40     1 
1810630251   -3.50528     16.06316     0.04     -0.23     0.24     1 
1810630324   -3.53030     16.00701    -0.01     -0.11     0.11     1 
1810630325   -3.53027     16.03510    -0.05     -0.19     0.19     1 
1810630326   -3.53024     16.06319     0.13     -0.06     0.14     1 
1810630327   -3.53021     16.09127    -0.06      0.12     0.13     1 
1810630330   -3.53010     16.17553     0.17     -0.10     0.20     1 
1810630332   -3.53003     16.23170     0.02     -0.09     0.10     1 
1810630336   -3.52988     16.34404     0.07     -0.36     0.37     1 
1810630337   -3.52983     16.37213     0.02     -0.19     0.19     1 
1810630338   -3.52979     16.40021     0.03     -0.10     0.10     1 
1810630339   -3.52975     16.42829    -0.14      0.11     0.18     1 
1810630340   -3.52970     16.45637     0.09      0.06     0.11     1 
1810630389   -3.55553     15.72615     0.31      0.04     0.31     1 
1810630391   -3.55549     15.78233    -0.31     -0.21     0.38     1 
1810630398   -3.55530     15.97895     0.14     -0.10     0.17     1 
1810630399   -3.55527     16.00704     0.07     -0.32     0.32     1 
1810630400   -3.55524     16.03513     0.09      0.00     0.09     1 
1810630405   -3.55507     16.17556    -0.07      0.32     0.33     1 
1810630412   -3.55480     16.37216     0.00     -0.04     0.04     1 
1810630413   -3.55475     16.40025     0.04      0.03     0.05     1 
1810630414   -3.55471     16.42833    -0.04     -0.06     0.07     1 
1810630415   -3.55467     16.45641     0.06     -0.13     0.15     1 
1810630417   -3.55458     16.51258    -0.01     -0.09     0.09     1 
1810630418   -3.55453     16.54066     0.07     -0.19     0.21     1 
1810630465   -3.58048     15.75426     0.11     -0.27     0.29     1 
1810630466   -3.58045     15.78235    -0.04     -0.21     0.22     1 
1810630474   -3.58023     16.00707    -0.09      0.04     0.10     1 
1810630475   -3.58020     16.03516     0.19     -0.02     0.19     1 
1810630480   -3.58003     16.17560     0.18     -0.17     0.25     1 
1810630487   -3.57976     16.37220    -0.10     -0.32     0.33     1 
1810630489   -3.57967     16.42837    -0.05     -0.02     0.05     1 
1810630490   -3.57963     16.45645    -0.09     -0.09     0.13     1 
1810630491   -3.57958     16.48454     0.06     -0.08     0.10     1 
1810630492   -3.57954     16.51262    -0.33     -0.45     0.55     2 
1810630493   -3.57949     16.54070     0.01      0.07     0.07     1 
1810630494   -3.57944     16.56878    -0.26     -0.16     0.31     1 
1810630495   -3.57939     16.59687     0.26     -0.23     0.34     1 
1810630496   -3.57934     16.62495     0.14      0.19     0.23     1 
1810630497   -3.57929     16.65303    -0.03      0.09     0.09     1 
1810630500   -3.57914     16.73727     0.30     -0.17     0.34     1 
1810630541   -3.60542     15.78237     0.30     -0.24     0.39     1 
1810630549   -3.60520     16.00710    -0.09     -0.00     0.09     1 
1810630550   -3.60517     16.03518     0.08     -0.32     0.33     1 
1810630554   -3.60503     16.14754    -0.35     -0.06     0.35     1 
1810630555   -3.60500     16.17563    -0.12      0.08     0.15     1 
1810630556   -3.60496     16.20372    -0.21      0.14     0.25     1 
1810630557   -3.60492     16.23180     0.08      0.10     0.12     1 
1810630558   -3.60488     16.25989    -0.16     -0.20     0.25     1 
1810630564   -3.60463     16.42841    -0.04     -0.03     0.05     1 
1810630565   -3.60459     16.45649    -0.02     -0.16     0.16     1 
1810630566   -3.60454     16.48458    -0.01      0.19     0.19     1 
